text,language,category,text_clean,char_len,category_merged
"সীতা খুঁজে পেতেই কাটল জট! ফের চর্চায় রণবীরের রামায়ণ, কবে থেকে শুরু ছবির কাজ?",bengali,entertainment,"সীতা খুঁজে পেতেই কাটল জট! ফের চর্চায় রণবীরের রামায়ণ, কবে থেকে শুরু ছবির কাজ?",78,entertainment
ডেটিং অ্যাপে নিজেরই ছবি দেখে চমকে সইফ আলি খান! তার পর?,bengali,entertainment,ডেটিং অ্যাপে নিজেরই ছবি দেখে চমকে সইফ আলি খান! তার পর?,54,entertainment
বান্ধবীর বর ছিনিয়ে নিয়েছেন হংসিকা? সোহেলের প্রথম বিয়ে ভাঙার পর তিনিই ‘খলনায়িকা’!,bengali,entertainment,বান্ধবীর বর ছিনিয়ে নিয়েছেন হংসিকা? সোহেলের প্রথম বিয়ে ভাঙার পর তিনিই ‘খলনায়িকা’!,84,entertainment
জঙ্গলে মৌমাছিদের কবলে টিম ব্যোমকেশ! সৃজিতের ওয়েব সিরিজ়ের শুটিংয়ে বিপত্তি,bengali,entertainment,জঙ্গলে মৌমাছিদের কবলে টিম ব্যোমকেশ! সৃজিতের ওয়েব সিরিজ়ের শুটিংয়ে বিপত্তি,75,entertainment
মা হলেন আনুশকা,bengali,entertainment,মা হলেন আনুশকা,14,entertainment
"‘বৌ আগে, আমার সন্তান পরে’, পরীমণি সম্পর্কে মুখ খুললেন শরিফুল রাজ",bengali,entertainment,"‘বৌ আগে, আমার সন্তান পরে’, পরীমণি সম্পর্কে মুখ খুললেন শরিফুল রাজ",64,entertainment
"ক্যানসার আক্রান্ত টলিউডের বিখ্যাত পরিচালক, চিকিৎসার জন্য তড়িঘড়ি নিয়ে যাওয়া হচ্ছে মুম্বই",bengali,entertainment,"ক্যানসার আক্রান্ত টলিউডের বিখ্যাত পরিচালক, চিকিৎসার জন্য তড়িঘড়ি নিয়ে যাওয়া হচ্ছে মুম্বই",91,entertainment
ঋষভকে দেখতে হাসপাতালে অনুপম-অনিল! কেমন আছেন পন্থ এখন?,bengali,entertainment,ঋষভকে দেখতে হাসপাতালে অনুপম-অনিল! কেমন আছেন পন্থ এখন?,53,entertainment
গায়ে সিগারেটের ছ্যাঁকা দিতেন! সলমনের বিরুদ্ধে একাধিক অভিযোগ প্রাক্তন প্রেমিকার,bengali,entertainment,গায়ে সিগারেটের ছ্যাঁকা দিতেন! সলমনের বিরুদ্ধে একাধিক অভিযোগ প্রাক্তন প্রেমিকার,79,entertainment
করোনায় আক্রান্ত মেহের আফরোজ শাওন,bengali,entertainment,করোনায় আক্রান্ত মেহের আফরোজ শাওন,33,entertainment
"বিপুল বাজেটের ‘শক্তিমান’ আসছে বড় পর্দায়, মুকেশও থাকছেন, তিনিই কি হবেন নায়ক?",bengali,entertainment,"বিপুল বাজেটের ‘শক্তিমান’ আসছে বড় পর্দায়, মুকেশও থাকছেন, তিনিই কি হবেন নায়ক?",78,entertainment
বহু কাল ভেঙে গিয়েছে ‘হট কাপল’! কিন্তু ব্রিটনির সঙ্গে ‘মুখমৈথুন’ ভুলে যাননি টিম্বারলেক,bengali,entertainment,বহু কাল ভেঙে গিয়েছে ‘হট কাপল’! কিন্তু ব্রিটনির সঙ্গে ‘মুখমৈথুন’ ভুলে যাননি টিম্বারলেক,86,entertainment
‘নতুন প্রেম ভালই এগোচ্ছে!’  সীমার সঙ্গে গাড়ি থেকে নেমে জল্পনা উস্কে দিলেন সুশান্তের প্রাক্তন,bengali,entertainment,‘নতুন প্রেম ভালই এগোচ্ছে!’ সীমার সঙ্গে গাড়ি থেকে নেমে জল্পনা উস্কে দিলেন সুশান্তের প্রাক্তন,92,entertainment
"অ্যাসিড আক্রমণে বিপর্যস্ত শরীর, কলকাতার লড়াকু নারীদের কাঁধে হাত রাখলেন শাহরুখ",bengali,entertainment,"অ্যাসিড আক্রমণে বিপর্যস্ত শরীর, কলকাতার লড়াকু নারীদের কাঁধে হাত রাখলেন শাহরুখ",78,entertainment
প্রস্তুতি নিয়েও ভেস্তে গেল? কেন মধুচন্দ্রিমায় যাচ্ছেন না আথিয়া এবং কেএল রাহুল?,bengali,entertainment,প্রস্তুতি নিয়েও ভেস্তে গেল? কেন মধুচন্দ্রিমায় যাচ্ছেন না আথিয়া এবং কেএল রাহুল?,81,entertainment
"আরিয়ানকে জেলে পাঠিয়েছিলেন, ‘জওয়ান’-এর সংলাপে সেই সমীরকে খোঁচা শাহরুখের, এল পাল্টা জবাব",bengali,entertainment,"আরিয়ানকে জেলে পাঠিয়েছিলেন, ‘জওয়ান’-এর সংলাপে সেই সমীরকে খোঁচা শাহরুখের, এল পাল্টা জবাব",89,entertainment
"এত সাদাসিধে হয়ে রাজনীতি করা যায় না, বাবাকে বোঝাতেন সঞ্জয়",bengali,entertainment,"এত সাদাসিধে হয়ে রাজনীতি করা যায় না, বাবাকে বোঝাতেন সঞ্জয়",59,entertainment
"অধিক বিয়েতে অন্যায় কী! আশিসের পাশে ভুক্তভোগী শ্রাবন্তী, রূপাঞ্জনারা",bengali,entertainment,"অধিক বিয়েতে অন্যায় কী! আশিসের পাশে ভুক্তভোগী শ্রাবন্তী, রূপাঞ্জনারা",69,entertainment
"ফিরিয়েছেন বাদশা, ‘ডন ৩’-এর জন্য অবশেষে কোন অভিনেতাকে চূড়ান্ত করলেন ফারহান?",bengali,entertainment,"ফিরিয়েছেন বাদশা, ‘ডন ৩’-এর জন্য অবশেষে কোন অভিনেতাকে চূড়ান্ত করলেন ফারহান?",76,entertainment
মুখোমুখি হচ্ছেন সুশান্তের দুই প্রেমিকা,bengali,entertainment,মুখোমুখি হচ্ছেন সুশান্তের দুই প্রেমিকা,38,entertainment
"বলিউডে কাজ হাতছাড়া সামান্থা রুথ প্রভুর, মাঝপথে ছাড়তে হল ছবি",bengali,entertainment,"বলিউডে কাজ হাতছাড়া সামান্থা রুথ প্রভুর, মাঝপথে ছাড়তে হল ছবি",61,entertainment
প্রেমে পড়েছেন কঙ্গনা? সমাজমাধ্যমে অভিনেত্রীর পোস্টে মিলল আভাস,bengali,entertainment,প্রেমে পড়েছেন কঙ্গনা? সমাজমাধ্যমে অভিনেত্রীর পোস্টে মিলল আভাস,62,entertainment
এখন শহরের হিট নাটক কোনটি? থিয়েটার-বাণিজ্য সম্পর্ক কি আদা-কাঁচকলার? অঙ্ক কষলেন নাট্যব্যক্তিত্বেরা,bengali,entertainment,এখন শহরের হিট নাটক কোনটি? থিয়েটার-বাণিজ্য সম্পর্ক কি আদা-কাঁচকলার? অঙ্ক কষলেন নাট্যব্যক্তিত্বেরা,97,entertainment
"মুক্তির আগেই ১৫০ কোটি টাকার লক্ষ্মীলাভ, নজির গড়ল কৃতি-প্রভাসের ‘আদিপুরুষ’",bengali,entertainment,"মুক্তির আগেই ১৫০ কোটি টাকার লক্ষ্মীলাভ, নজির গড়ল কৃতি-প্রভাসের ‘আদিপুরুষ’",74,entertainment
"সানিয়া-শোয়েবের বিচ্ছেদ হয়ে গিয়েছে, জানালেন কাছের বন্ধু",bengali,entertainment,"সানিয়া-শোয়েবের বিচ্ছেদ হয়ে গিয়েছে, জানালেন কাছের বন্ধু",58,entertainment
টুপটাপ ফুল খসছে শেহনাজ়ের বিশেষ অঙ্গ থেকে! পোশাকেই কি রয়েছে রহস্য?,bengali,entertainment,টুপটাপ ফুল খসছে শেহনাজ়ের বিশেষ অঙ্গ থেকে! পোশাকেই কি রয়েছে রহস্য?,67,entertainment
জায়েদ খানের গোপন স্ক্রিনশট ফাঁস করলেন নিপুণ,bengali,entertainment,জায়েদ খানের গোপন স্ক্রিনশট ফাঁস করলেন নিপুণ,44,entertainment
বাদশার পুত্র বলে কথা! অভিষেকের আগেই আরিয়ানের ওয়েব সিরিজ় বিক্রি হল কয়েকশো কোটিতে,bengali,entertainment,বাদশার পুত্র বলে কথা! অভিষেকের আগেই আরিয়ানের ওয়েব সিরিজ় বিক্রি হল কয়েকশো কোটিতে,83,entertainment
ফেসবুক লাইভে মাহি : আমি সর্বোচ্চ সম্মানিত হয়েছি,bengali,entertainment,ফেসবুক লাইভে মাহি : আমি সর্বোচ্চ সম্মানিত হয়েছি,48,entertainment
"ওঁর প্রতিভা ঠিক কোথায়, কী কারণে শেহনাজ়ের উপর চটলেন সোনা?",bengali,entertainment,"ওঁর প্রতিভা ঠিক কোথায়, কী কারণে শেহনাজ়ের উপর চটলেন সোনা?",58,entertainment
বাচ্চাদের নিয়ে কাজ করা কতটা কঠিন? ‘হামি ২’-এর সেট থেকে কলম ধরলেন শিবপ্রসাদ মুখোপাধ্যায়,bengali,entertainment,বাচ্চাদের নিয়ে কাজ করা কতটা কঠিন? ‘হামি ২’-এর সেট থেকে কলম ধরলেন শিবপ্রসাদ মুখোপাধ্যায়,88,entertainment
"ইটালিতে তাঁর ল্যাম্বরঘিনির ধাক্কায় মৃত্যু দু’জনের, দেশে ফিরলেন গায়ত্রী ও তাঁর স্বামী",bengali,entertainment,"ইটালিতে তাঁর ল্যাম্বরঘিনির ধাক্কায় মৃত্যু দু’জনের, দেশে ফিরলেন গায়ত্রী ও তাঁর স্বামী",86,entertainment
পরীমণিকে দফায় দফায় রিমান্ড : দুই বিচারকের নিঃশর্ত ক্ষমা প্রার্থনা,bengali,entertainment,পরীমণিকে দফায় দফায় রিমান্ড : দুই বিচারকের নিঃশর্ত ক্ষমা প্রার্থনা,67,entertainment
শারীরিক ঘনিষ্ঠতার প্রস্তাব প্রত্যাখ্যান করতেই হেনস্থা! অভিযুক্ত মুম্বইয়ের কাস্টিং ডিরেক্টর,bengali,entertainment,শারীরিক ঘনিষ্ঠতার প্রস্তাব প্রত্যাখ্যান করতেই হেনস্থা! অভিযুক্ত মুম্বইয়ের কাস্টিং ডিরেক্টর,91,entertainment
সন্তান সমকামী হলে তাকে ত্যাগ করছেন কেন অভিভাবকরা? প্রশ্ন তুললেন একা মা জ়িনাত,bengali,entertainment,সন্তান সমকামী হলে তাকে ত্যাগ করছেন কেন অভিভাবকরা? প্রশ্ন তুললেন একা মা জ়িনাত,77,entertainment
"মা লক্ষ্মীর জন্য বিশেষ সোনার মুকুট, ভোগে খিচুড়ি, জমজমাট মনামীর বাড়ির লক্ষ্মীপুজো",bengali,entertainment,"মা লক্ষ্মীর জন্য বিশেষ সোনার মুকুট, ভোগে খিচুড়ি, জমজমাট মনামীর বাড়ির লক্ষ্মীপুজো",82,entertainment
"সহ-পরিচালকের সঙ্গে পালিয়ে বিয়ে, বর্তমান বাজার মূল্যে প্রথম দু’কোটি টাকার সমান আয় করেন নায়িকা",bengali,entertainment,"সহ-পরিচালকের সঙ্গে পালিয়ে বিয়ে, বর্তমান বাজার মূল্যে প্রথম দু’কোটি টাকার সমান আয় করেন নায়িকা",96,entertainment
